Year,survey_topic,topic_medline
1990,2,998
1991,9,1056
1992,6,1065
1993,16,1073
1994,15,1201
1995,21,1355
1996,19,1440
1997,22,1619
1998,12,1557
1999,22,1733
2000,25,1947
2001,27,1902
2002,31,2177
2003,40,2355
2004,33,2526
2005,47,2777
2006,53,2974
2007,46,3101
2008,43,3375
2009,71,3605
2010,82,3967
2011,69,4263
2012,79,4626
2013,83,5297
2014,76,5802
2015,65,6122
2016,56,6479
2017,60,7047
2018,63,7285
2019,76,8009
2020,83,8856
2021,68,9261
2022,71,9280
2023,58,8590
2024,15,3707
